url resume
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un homme et sa femme avaient pour leur cœur, un fils, pour leurs bras, le travail, pour leur corps, une petite cabane…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un homme pêche au bord de la rivière. Soudain, il voit se dresser à l'horizon la silhouette d'un homme immense…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un pauvre fermier et sa femme qui travaillaient très dur sur leur lopin de terre…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Autrefois, les oiseaux étaient blancs, tout blancs…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Ils étaient deux, le Grand et le Petit. Les deux frères vivaient chez le roi…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a bien longtemps, dans un tout petit village, vivaient un très vieil homme et sa femme…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Minos était le nom du roi de Crète. Les habitants de cette île le craignaient et n'osaient le contrarier."
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le plus puissant de tous les sorciers ne supporte plus les hommes et leur méchanceté…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le petit chacal était un animal très rusé…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois une petite fille de village, la plus jolie qu'on eût su voir ; sa mère en était folle, et sa mère-grand…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Dans un petit village de Chine, non loin de la ville de Nankin, vivait un jeune homme prénommé Tao…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le roi Keita, sur ses vieux jours, appela ses trois fils : l'aîné Mamadi, le cadet Mambi et le benjamin Kalilou…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jour, Täne Mahuta marchait à travers la forêt. Il regardait les arbres et il remarqua qu'ils commençaient à être malades.…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois deux frères : l'un était pauvre, l'autre avait du bien…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le sixième petit matin de la création, Papabondieu, accoudé au balcon du ciel…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a longtemps de cela, les caravanes de pionniers quittaient les côtes de l'Atlantique…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le Soleil un jour dit à la Lune : « Ma chère amie, nous avons beaucoup trop d'enfants… »"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un père et une mère avaient cinq enfants. Quatre garçons et une fille, la benjamine, qui était la préférée de tous…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "L'hyène vint un jour trouver le lièvre et lui dit…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était un village dans lequel vivaient trois frères…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y avait, dans un village qui existe d'ailleurs toujours, un pauvre homme qui avait beaucoup travaillé…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Deux sœurs vivaient ensemble ; l'aînée était très belle et la cadette très laide…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jour, un brahmine traversait un village de l'Inde lorsqu'il vit une grande cage de bambou…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un père de famille, à sa mort, laissa deux orphelins : un fils, Daouda, et une fille, Aïssata…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois, dans une région lointaine du Viêt Nam, un jeune paysan prénommé Ngoc Tâm…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Ulysse était absent depuis longtemps déjà, lorsque son fils Télémaque partit à sa recherche…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Sur une île vivait Milad, pauvre femme qui ne possédait qu'un petit lopin de terre…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "L'oiseau vint dire à la poule : « Poule, tu as des ailes, pourquoi ne peux-tu pas prendre ton envol ?"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Taqqiq était un jeune garçon inuit, connu dans la région pour sa beauté mais aussi pour sa cécité…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a plusieurs siècles, un roi nommé Midas régnait sur la Phrygie. Quelquefois, Dionysos se rendait dans ces contrées…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "L'Air et la Terre avaient une fille : Écho. Cette charmante nymphe vivait dans les bois…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Au temps où notre seigneur Noé construisait l'arche, le sanglier vint la nuit la battre en brèche…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Orphée avait reçu de sa mère le don merveilleux de la musique…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Lorsque Zeus créa le monde, seuls les hommes peuplaient la Terre. Ils étaient protégés par Prométhée, un Titan…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "La déesse Déméter, protectrice de la Nature, avait une fille unique qu'elle chérissait…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Vous vous souvenez de Sanna…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un jeune homme, prénommé Urashimataro, qui vivait avec sa mère dans un petit village…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Ammamellen avait une sœur et, toutes les fois qu'elle mettait au monde un garçon, il le tuait…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jeune homme du nom de Mamadou, qui voulait apprendre à lire et à écrire, partit un jour à la recherche d'une école…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Des hommes étaient en voyage. En chemin, ils s'arrêtèrent chez des anthropophages…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Dans un village de la campagne russe vivait une petite fille qui n'avait plus de maman…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois une famille pauvre qui comptait trois fils : Pierre, Jacques et Jean."
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jour de plein hiver, une reine était assise à sa fenêtre encadrée de bois d'ébène et cousait…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Mon histoire se passe il y a très longtemps, dans un pays blanc balayé par la neige et le vent : le Toit du Monde…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Rêve-d'un-Songe eut un jour l'envie de voyager…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un gentilhomme qui épousa en secondes noces une femme, la plus hautaine et la plus fière…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le lièvre et le singe discutaient avec enthousiasme…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a fort longtemps vivaient en Chine deux frères. Wang, l'aîné, était le plus fort et brimait sans cesse son cadet…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "On raconte que Zeus s'éprit un jour d'une jeune princesse phénicienne, fille du roi Agénor, et qui s'appelait Europe…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un bûcheron, sa femme et ses deux enfants vivaient à l'orée d'une forêt. Le garçon s'appelait Hansel et la fille Grethel. …"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Des chasseurs partirent avec leurs chameaux…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Icare avait grandi parmi les inventions de son père Dédale, célèbre artisan de Crète…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un roi et une reine. Chaque jour ils se lamentaient…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Dans une île se dressait une haute montagne dont les flancs étaient recouverts d'une épaisse forêt…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Depuis quelque temps, à chaque fois qu'un homme du campement partait chasser en kayak, il n'en revenait jamais…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois quatre garnements aux noms prédestinés…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "La lionne avait mis bas neuf petits. Un jour, à son retour de la chasse, elle n'en trouva plus que huit…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Au commencement, Dieu avait créé et mis sur Terre un seul homme et une seule femme…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a dans une province du Sénégal un village qui s'appelle Dêbou. Près de ce village, passe la rivière Falêmé…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jeune garçon nommé Ségué Karanmbé était un oiseleur heureux.…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un prince qui voulait épouser une princesse, mais une vraie princesse…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Une jeune princesse possédait toutes les qualités que l'on pût désirer…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jour, Zeus fit apparaître un bélier ailé. L'animal fut sacrifié mais on prit soin de conserver sa toison d'or…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Une grenouille vivait au bord d'un trou rempli d'eau, près d'un ruisseau…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un pauvre brahmane, ayant femme et enfants, priait et faisait régulièrement des offrandes à la déesse Durga…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Baffo était une petite fille mal élevée. Elle passait son temps à se battre avec ses camarades et refusait de travailler…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le hérisson s'était associé avec le chacal pour cultiver. Des nomades s'installèrent un jour sur leurs terres…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un chat et une souris vivaient ensemble dans un grenier en toute amitié…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jeune homme partit un jour de chez lui parcourir le vaste monde afin d'apprendre la vraie vie…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois une jeune fille très belle qui s'appelait Hina…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "La famille Meng planta un jour une courge le long du mur de son jardin…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a très longtemps de cela, des Peuhls, de la famille d'un chef célèbre nommé Diâdié, fondèrent un village…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y avait un garçon qui s'en alla seul dans le monde. Il alla dans la plaine déserte. Tous les animaux le fuyaient…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un homme et sa femme avaient pour leur cœur, un fils, pour leurs bras, le travail, pour leur corps, une petite cabane…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un homme pêche au bord de la rivière. Soudain, il voit se dresser à l'horizon la silhouette d'un homme immense…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un pauvre fermier et sa femme qui travaillaient très dur sur leur lopin de terre…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Autrefois, les oiseaux étaient blancs, tout blancs…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Ils étaient deux, le Grand et le Petit. Les deux frères vivaient chez le roi…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a bien longtemps, dans un tout petit village, vivaient un très vieil homme et sa femme…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Minos était le nom du roi de Crète. Les habitants de cette île le craignaient et n'osaient le contrarier."
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le plus puissant de tous les sorciers ne supporte plus les hommes et leur méchanceté…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le petit chacal était un animal très rusé…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois une petite fille de village, la plus jolie qu'on eût su voir ; sa mère en était folle, et sa mère-grand…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Dans un petit village de Chine, non loin de la ville de Nankin, vivait un jeune homme prénommé Tao…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le roi Keita, sur ses vieux jours, appela ses trois fils : l'aîné Mamadi, le cadet Mambi et le benjamin Kalilou…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jour, Täne Mahuta marchait à travers la forêt. Il regardait les arbres et il remarqua qu'ils commençaient à être malades.…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois deux frères : l'un était pauvre, l'autre avait du bien…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le sixième petit matin de la création, Papabondieu, accoudé au balcon du ciel…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a longtemps de cela, les caravanes de pionniers quittaient les côtes de l'Atlantique…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Le Soleil un jour dit à la Lune : « Ma chère amie, nous avons beaucoup trop d'enfants… »"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un père et une mère avaient cinq enfants. Quatre garçons et une fille, la benjamine, qui était la préférée de tous…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "L'hyène vint un jour trouver le lièvre et lui dit…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était un village dans lequel vivaient trois frères…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y avait, dans un village qui existe d'ailleurs toujours, un pauvre homme qui avait beaucoup travaillé…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Deux sœurs vivaient ensemble ; l'aînée était très belle et la cadette très laide…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un jour, un brahmine traversait un village de l'Inde lorsqu'il vit une grande cage de bambou…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Un père de famille, à sa mort, laissa deux orphelins : un fils, Daouda, et une fille, Aïssata…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois, dans une région lointaine du Viêt Nam, un jeune paysan prénommé Ngoc Tâm…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Ulysse était absent depuis longtemps déjà, lorsque son fils Télémaque partit à sa recherche…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Sur une île vivait Milad, pauvre femme qui ne possédait qu'un petit lopin de terre…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "L'oiseau vint dire à la poule : « Poule, tu as des ailes, pourquoi ne peux-tu pas prendre ton envol ?"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Taqqiq était un jeune garçon inuit, connu dans la région pour sa beauté mais aussi pour sa cécité…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il y a plusieurs siècles, un roi nommé Midas régnait sur la Phrygie. Quelquefois, Dionysos se rendait dans ces contrées…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "L'Air et la Terre avaient une fille : Écho. Cette charmante nymphe vivait dans les bois…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Au temps où notre seigneur Noé construisait l'arche, le sanglier vint la nuit la battre en brèche…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Orphée avait reçu de sa mère le don merveilleux de la musique…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Lorsque Zeus créa le monde, seuls les hommes peuplaient la Terre. Ils étaient protégés par Prométhée, un Titan…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "La déesse Déméter, protectrice de la Nature, avait une fille unique qu'elle chérissait…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Vous vous souvenez de Sanna…"
https://www.iletaitunehistoire.com/genres/contes-et-legendes "Il était une fois un jeune homme, prénommé Urashimataro, qui vivait avec sa mère dans un petit village…"
