links	resumes
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_056#histoire	Un homme et sa femme avaient pour leur cœur, un fils, pour leurs bras, le travail, pour leur corps, une petite cabane…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_016#histoire	Un homme pêche au bord de la rivière. Soudain, il voit se dresser à l'horizon la silhouette d'un homme immense…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_018#histoire	Il était une fois un pauvre fermier et sa femme qui travaillaient très dur sur leur lopin de terre…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_015#histoire	Autrefois, les oiseaux étaient blancs, tout blancs…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_060#histoire	Ils étaient deux, le Grand et le Petit. Les deux frères vivaient chez le roi…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_037#histoire	Il y a bien longtemps, dans un tout petit village, vivaient un très vieil homme et sa femme…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_061#histoire	Minos était le nom du roi de Crète. Les habitants de cette île le craignaient et n'osaient le contrarier.
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_040#histoire	Le plus puissant de tous les sorciers ne supporte plus les hommes et leur méchanceté…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_028#histoire	Le petit chacal était un animal très rusé…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_020#histoire	Il était une fois une petite fille de village, la plus jolie qu'on eût su voir ; sa mère en était folle, et sa mère-grand…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_049#histoire	Dans un petit village de Chine, non loin de la ville de Nankin, vivait un jeune homme prénommé Tao…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_033#histoire	Le roi Keita, sur ses vieux jours, appela ses trois fils : l'aîné Mamadi, le cadet Mambi et le benjamin Kalilou…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_044#histoire	Un jour, Täne Mahuta marchait à travers la forêt. Il regardait les arbres et il remarqua qu'ils commençaient à être malades.…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_006#histoire	Il était une fois deux frères : l'un était pauvre, l'autre avait du bien…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_063#histoire	Le sixième petit matin de la création, Papabondieu, accoudé au balcon du ciel…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_042#histoire	Il y a longtemps de cela, les caravanes de pionniers quittaient les côtes de l'Atlantique…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_081#histoire	Le Soleil un jour dit à la Lune : « Ma chère amie, nous avons beaucoup trop d'enfants… »
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_017#histoire	Un père et une mère avaient cinq enfants. Quatre garçons et une fille, la benjamine, qui était la préférée de tous…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_034#histoire	L'hyène vint un jour trouver le lièvre et lui dit…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_050#histoire	Il était un village dans lequel vivaient trois frères…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_065#histoire	Il y avait, dans un village qui existe d'ailleurs toujours, un pauvre homme qui avait beaucoup travaillé…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_030#histoire	Deux sœurs vivaient ensemble ; l'aînée était très belle et la cadette très laide…
https://www.iletaitunehistoire.com/genres/contes-et-legendes/lire/biblidcon_035#histoire	Un jour, un brahmine traversait un village de l'Inde lorsqu'il vit une grande cage de bambou…
